BNF_CHEMICAL_SUBSTANCE_CODE_umbrella,BNF_CHEMICAL_SUBSTANCE_umbrella,BNF_PRODUCT,BNF_PRODUCT_CODE,BNF_PRESENTATION,BNF_PRESENTATION_CODE
0403010B0,Amitriptyline hydrochloride,Amitriptyline hydrochloride,0403010B0AA,Amitriptyline 75mg/5ml oral solution,0403010B0AAA1A1
0403010C0,Amoxapine,Amoxapine,0403010C0AA,Amoxapine 50mg tablets,0403010C0AAABAB
0403010F0,Clomipramine hydrochloride,Clomipramine hydrochloride,0403010F0AA,Clomipramine 10mg capsules,0403010F0AAAAAA
0403010J0,Dosulepin hydrochloride,Dosulepin hydrochloride,0403010J0AA,Dosulepin 50mg/5ml oral solution,0403010J0AAA5A5
0403010L0,Doxepin,Doxepin,0403010L0AA,Doxepin 10mg capsules,0403010L0AAAAAA
0403010N0,Imipramine hydrochloride,Imipramine hydrochloride,0403010N0AA,Imipramine 25mg/5ml oral solution,0403010N0AAACAC
0403010R0,Lofepramine hydrochloride,Lofepramine hydrochloride,0403010R0AA,Lofepramine 70mg tablets,0403010R0AAAAAA
0403010S0,Maprotiline hydrochloride,Maprotiline hydrochloride,0403010S0AA,Maprotiline 10mg tablets,0403010S0AAAAAA
0403010T0,Mianserin hydrochloride,Mianserin hydrochloride,0403010T0AA,Mianserin 10mg tablets,0403010T0AAAAAA
0403010V0,Nortriptyline,Nortriptyline,0403010V0AA,Nortriptyline 10mg tablets,0403010V0AAADAD
0403010X0,Trazodone hydrochloride,Trazodone hydrochloride,0403010X0AA,Trazodone 50mg capsules,0403010X0AAAAAA
0403010Y0,Trimipramine maleate,Trimipramine maleate,0403010Y0AA,Trimipramine 50mg capsules,0403010Y0AAAAAA
0403020H0,Isocarboxazid,Isocarboxazid,0403020H0AA,Isocarboxazid 10mg tablets,0403020H0AAAAAA
0403020K0,Moclobemide,Moclobemide,0403020K0AA,Moclobemide 150mg tablets,0403020K0AAAAAA
0403020M0,Phenelzine sulfate,Phenelzine sulfate,0403020M0AA,Phenelzine 15mg tablets,0403020M0AAAAAA
0403020Q0,Tranylcypromine sulfate,Tranylcypromine sulfate,0403020Q0AA,Tranylcypromine 10mg tablets,0403020Q0AAAAAA
0403030D0,Citalopram hydrobromide,Citalopram hydrobromide,0403030D0AA,Citalopram 20mg tablets,0403030D0AAAAAA
0403030E0,Fluoxetine hydrochloride,Fluoxetine hydrochloride,0403030E0AA,Fluoxetine 20mg capsules,0403030E0AAAAAA
0403030L0,Fluvoxamine maleate,Fluvoxamine maleate,0403030L0AA,Fluvoxamine 50mg tablets,0403030L0AAAAAA
0403030P0,Paroxetine hydrochloride,Paroxetine hydrochloride,0403030P0AA,Paroxetine 20mg tablets,0403030P0AAAAAA
0403030Q0,Sertraline hydrochloride,Sertraline hydrochloride,0403030Q0AA,Sertraline 50mg tablets,0403030Q0AAAAAA
0403030X0,Escitalopram,Escitalopram,0403030X0AA,Escitalopram 10mg tablets,0403030X0AAAAAA
0403030Z0,Citalopram hydrochloride,Citalopram hydrochloride,0403030Z0AA,Citalopram 40mg/ml oral drops sugar free,0403030Z0AAAAAA
040304000,Other antidepressant preparations,Generic compound preparation BNF 0403040,040304000AA,Milnacipran 50mg capsules,040304000AAABAB
0403040AA,Levomilnacipran,Levomilnacipran,0403040AAAA,Levomilnacipran 40mg modified-release capsules,0403040AAAAAAAA
0403040AB,Vortioxetine,Vortioxetine,0403040ABAA,Vortioxetine 5mg tablets,0403040ABAAAAAA
0403040F0,Flupentixol hydrochloride,Flupentixol hydrochloride (Antidepressant),0403040F0AA,Flupentixol 500microgram tablets,0403040F0AAAAAA
0403040R0,Oxitriptan,Oxitriptan,0403040R0AA,Oxitriptan 50mg capsules,0403040R0AAAFAF
0403040S0,Tryptophan,Tryptophan,0403040S0AA,Tryptophan 500mg tablets,0403040S0AAABAB
0403040T0,Nefazodone hydrochloride,Nefazodone hydrochloride,0403040T0AA,Nefazodone 100mg tablets,0403040T0AAAAAA
0403040U0,Reboxetine,Reboxetine,0403040U0AA,Reboxetine 4mg tablets,0403040U0AAAAAA
0403040W0,Venlafaxine,Venlafaxine,0403040W0AA,Venlafaxine 37.5mg tablets,0403040W0AAAAAA
0403040X0,Mirtazapine,Mirtazapine,0403040X0AA,Mirtazapine 30mg tablets,0403040X0AAAAAA
0403040Y0,Duloxetine hydrochloride,Duloxetine hydrochloride (Antidepressant),0403040Y0AA,Duloxetine 30mg gastro-resistant capsules,0403040Y0AAAAAA
0403040Z0,Agomelatine,Agomelatine,0403040Z0AA,Agomelatine 25mg tablets,0403040Z0AAAAAA
