BNF_CHEMICAL_SUBSTANCE_CODE_umbrella,BNF_PRODUCT,Class,Note
0403010B0,Amitriptyline hydrochloride,TCA,
0403010C0,Amoxapine,TCA,
0403010F0,Clomipramine hydrochloride,TCA,
0403010H0,Desipramine hydrochloride,TCA,
0403010J0,Dosulepin hydrochloride,TCA,
0403010L0,Doxepin,TCA,
0403010N0,Imipramine hydrochloride,TCA,
0403010R0,Lofepramine hydrochloride,TCA,
0403010S0,Maprotiline hydrochloride,TeCA,
0403010T0,Mianserin hydrochloride,TeCA,
0403010V0,Nortriptyline,TCA,
0403010X0,Trazodone hydrochloride,SARI,
0403010Y0,Trimipramine maleate,TCA,
0403020H0,Isocarboxazid,MAOI,
0403020K0,Moclobemide,MAOI,
0403020M0,Phenelzine sulfate,MAOI,
0403020Q0,Tranylcypromine sulfate,MAOI,
0403030D0,Citalopram hydrobromide,SSRI,
0403030E0,Fluoxetine hydrochloride,SSRI,
0403030L0,Fluvoxamine maleate,SSRI,
0403030P0,Paroxetine hydrochloride,SSRI,
0403030Q0,Sertraline hydrochloride,SSRI,
0403030X0,Escitalopram,SSRI,
0403030Z0,Citalopram hydrochloride,SSRI,
040304000,Milnacipran,SNRI,
0403040AA,Levomilnacipran,SNRI,
0403040AB,Vortioxetine,SSRI,
0403040F0,Flupentixol hydrochloride (Antidepressant),Other,
0403040R0,Oxitriptan,Other,
0403040S0,Tryptophan,Other,
0403040T0,Nefazodone hydrochloride,SARI,
0403040U0,Reboxetine,SNRI,
0403040W0,Venlafaxine,SNRI,
0403040X0,Mirtazapine,TeCA,
0403040Y0,Duloxetine hydrochloride (Antidepressant),SNRI,
0403040Z0,Agomelatine,Other,
