BNF_9char_code,BNF_chemical_substance,class,note
040201010,Zuclopenthixol acetate,FGA,"Short-acting IM (Acuphase), depot"
040201030,Risperidone,SGA,Depot=0402020AA
040201050,Sertindole,SGA,
040201060,Olanzapine,SGA,"Depot (embonate)=0402020AC, antiemetic"
0402010A0,Amisulpride,SGA,Substituted benzamide
0402010AB,Quetiapine,SGA,Dibenzothiazepine
0402010AC,Zotepine,SGA,Withdrawn in UK; code exists
0402010AD,Aripiprazole,SGA,Depot=0402020AD
0402010AE,Paliperidone,SGA,Oral; depot=0402020AB
0402010AI,Lurasidone,SGA,Benzisothiazole
0402010AJ,Cariprazine,,New addition
0402010B0,Benperidol,FGA,Butyrophenone
0402010C0,Clozapine,SGA,Dibenzodiazepine
0402010D0,Chlorpromazine hydrochloride,FGA,"Phenothiazine, antiemetic"
0402010F0,Chlorprothixene,FGA,Thioxanthene
0402010G0,Droperidol,FGA,
0402010H0,Flupentixol hydrochloride,FGA,Thioxanthene; depot=0402020G0; antidepressant use=0403040F0
0402010I0,Fluphenazine hydrochloride,FGA,Phenothiazine; depot=0402020L0
0402010J0,Haloperidol,FGA,"Butyrophenone; depot=0402020T0, antiemetic"
0402010K0,Levomepromazine maleate,FGA,Phenothiazine; injection=hydrochloride 0402010L0
0402010L0,Levomepromazine hydrochloride,FGA,parenteral
0402010M0,Loxapine succinate,FGA,Dibenzoxazepine
0402010N0,Oxypertine,FGA,
0402010P0,Pericyazine,FGA,Phenothiazine (aka periciazine)
0402010Q0,Perphenazine,FGA,Phenothiazine
0402010R0,Pimozide,FGA,Diphenylbutylpiperidine
0402010S0,Promazine hydrochloride,FGA,Phenothiazine
0402010T0,Zuclopenthixol hydrochloride,FGA,Thioxanthene (oral); acetate=040201010; decanoate=0402020Z0
0402010U0,Sulpiride,FGA,Substituted benzamide (sometimes classed atypical)
0402010W0,Thioridazine,FGA,Phenothiazine (restricted use)
0402010X0,Trifluoperazine,FGA,Phenothiazine
0402020AA,Risperidone (Parenteral),SGA,Depot
0402020AB,Paliperidone (Injection),SGA,Depot
0402020AC,Olanzapine embonate,SGA,Depot (pamoate = embonate)
0402020AD,Aripiprazole,SGA,Depot
0402020G0,Flupentixol decanoate,FGA,Depot
0402020L0,Fluphenazine decanoate,FGA,Depot
0402020T0,Haloperidol decanoate,FGA,Depot
0402020V0,Pipotiazine palmitate,FGA,Depot (discontinued but code exists)
0402020Z0,Zuclopenthixol decanoate,FGA,Depot
0402030R0,Asenapine,SGA,"BNF 4.2.3 (mania/hypomania), not 4.2.1"
0406000T0,Prochlorperazine maleate,FGA,"BNF 4.6 (nausea/vertigo); mesilate=0406000U0, antiemetic"
0406000U0,Prochlorperazine mesilate,FGA,"BNF 4.6 (nausea/vertigo), antiemetic"
