BNF_9char_code,BNF_chemical_substance,Group,Notes
0401020A0,Alprazolam,Benzodiazepine,Anxiety
0401020G0,Bromazepam,Benzodiazepine,"Not routinely available; severe anxiety, panic disorder"
0401020B0,Buspirone hydrochloride,,Anxiety
0401010B0,Chloral hydrate,,Insomnia
0401020E0,Chlordiazepoxide hydrochloride,Benzodiazepine,"Anxiety, also alcohol withdrawal; base 'Chlordiazepoxide' 0401020D0 historic"
040801060,Clobazam,Benzodiazepine,Anxiety/epilepsy; BNF files clobazam under 4.8.1 only
0401010D0,Clomethiazole edisilate,,"Insomnia, restlessness, agitation; base 'Clomethiazole' = 0401010F0"
0401020K0,Diazepam,Benzodiazepine,Anxiety
0401020V0,Dipotassium clorazepate,Benzodiazepine,"Anxiety, alcohol withdrawal, epilepsy"
0401010I0,Flunitrazepam,Benzodiazepine,Insomnia
0401010L0,Flurazepam hydrochloride,Benzodiazepine,Insomnia
0408010G0,Gabapentin,,Also epilepsy and nerve pain
0304010J0,Hydroxyzine hydrochloride,,"Antihistamine, BNF 3.4.1 not 4.1.2"
0401010N0,Loprazolam mesilate,Benzodiazepine,Insomnia
0401020P0,Lorazepam,Benzodiazepine,Anxiety
0401010AD,Melatonin,,
0401010R0,Nitrazepam,Benzodiazepine,
0401020T0,Oxazepam,Benzodiazepine,
0408010AE,Pregabalin,,Also epilepsy and nerve pain
0304010W0,Promethazine hydrochloride,,"Antihistamine, BNF 3.4.1 not 4.1.1"
0204000R0,Propranolol hydrochloride,Beta blocker,New addition; BNF 2.4 beta-blockers
0401010T0,Temazepam,Benzodiazepine,
0401010X0,Triclofos sodium,,
0401010W0,Zaleplon,,
0401010Y0,Zolpidem tartrate,,
0401010Z0,Zopiclone,,Insomnia
