Read_v2_code,Read_v2_term,Class,BNF_subparagraph,BNF_code,BNF_chemical_substance,BNF_product,BNF_paragraph,Status,Notes,BNF_presentation
gd1,*amitriptyline hcl [enuresis] [see d71],cross-ref,,,—,,4.3.1 / 7.4.2,Cross-reference,Substance covered by 0403010B0; enuresis indication = BNF 7.4.2,
gd5,*imipramine hydrochloride [enuresis] [see d77],cross-ref,,,—,,4.3.1 / 7.4.2,Cross-reference,Substance covered by 0403010N0; enuresis indication = BNF 7.4.2,
daD,Agomelatine,Other,Other antidepressant drugs,0403040Z0,Agomelatine,,4.3.4,Matched,,
d71,Amitriptyline hydrochloride,TCA,Tricyclic and related antidepressant drugs,0403010B0,Amitriptyline hydrochloride,,4.3.1,Matched,,
d7h,Amoxapine,TCA,Tricyclic and related antidepressant drugs,0403010C0,Amoxapine,,4.3.1,Matched,,
d72,Butriptyline,TCA,,,—,,4.3.1,Missing – no BNF code,Withdrawn,
da9,Citalopram,SSRI,Selective serotonin re-uptake inhibitors,0403030D0,Citalopram hydrobromide,,4.3.3,Matched,Two BNF codes for one Read code,
da9,Citalopram,SSRI,Selective serotonin re-uptake inhibitors,0403030Z0,Citalopram hydrochloride,,4.3.3,Matched,Two BNF codes for one Read code,
d73,Clomipramine Hydrochloride,TCA,Tricyclic and related antidepressant drugs,0403010F0,Clomipramine hydrochloride,,4.3.1,Matched,,
d91,Compound antidepressants A-Z,Compound,,,—,,4.3.1,Missing – no BNF code,Combination products (e.g. Triptafen),
d9,Compound antidepressants drugs,Compound,,,—,,4.3.1,Missing – no BNF code,Combination products; no single chemical-substance code,
d74,desipramine,TCA,,0403010H0,—,,4.3.1,Matched,Withdrawn in UK,
d75,Dosulepin hydrochloride,TCA,Tricyclic and related antidepressant drugs,0403010J0,Dosulepin hydrochloride,,4.3.1,Matched,,
d76,Doxepin,TCA,Tricyclic and related antidepressant drugs,0403010L0,Doxepin,,4.3.1,Matched,,
gde,Duloxetine,SNRI,Other antidepressant drugs,0403040Y0,Duloxetine hydrochloride,,4.3.4,Matched,Old retired code 0403030Y0 also exists,
daC,Escitalopram,SSRI,Selective serotonin re-uptake inhibitors,0403030X0,Escitalopram,,4.3.3,Matched,,
da4,Fluoxetine,SSRI,Selective serotonin re-uptake inhibitors,0403030E0,Fluoxetine hydrochloride,,4.3.3,Matched,,
da1,Flupentixol [antidepressant],Other,Other antidepressant drugs,0403040F0,Flupentixol hydrochloride,,4.3.4,Matched,As antipsychotic it is BNF 4.2.1,
da3,Fluvoxamine,SSRI,Selective serotonin re-uptake inhibitors,0403030L0,Fluvoxamine maleate,,4.3.3,Matched,,
d77,Imipramine hydrochloride,TCA,Tricyclic and related antidepressant drugs,0403010N0,Imipramine hydrochloride,,4.3.1,Matched,,
d78,Iprindole,TCA,,,—,,4.3.1,Missing – no BNF code,Withdrawn,
d82,iproniazid,MAOI,,,—,,4.3.2,Missing – no BNF code,Withdrawn / historic,
d83,Isocarboxid,MAOI,Monoamine-oxidase inhibitors (maois),0403020H0,Isocarboxazid,,4.3.2,Matched,Read term misspelled 'Isocarboxid',
d79,Lofepramine,TCA,Tricyclic and related antidepressant drugs,0403010R0,Lofepramine hydrochloride,,4.3.1,Matched,,
d7b,Mainserin hydrochloride,TeCA,Tricyclic and related antidepressant drugs,0403010T0,Mianserin hydrochloride,,4.3.1,Matched,Read term misspelled 'Mainserin',
d7a,Maprotiline hydrochloride,TeCA,Tricyclic and related antidepressant drugs,0403010S0,Maprotiline hydrochloride,,4.3.1,Matched,BNF files under 4.3.1,
daB,Mirtazapine,TeCA,Other antidepressant drugs,0403040X0,Mirtazapine,,4.3.4,Matched,BNF files under 4.3.4,
d85,Moclobemide,MAOI,Monoamine-oxidase inhibitors (maois),0403020K0,Moclobemide,,4.3.2,Matched,,
d8,Monoamine-oxidase inhibitors,MAOI,Monoamine-oxidase inhibitors (maois),040302,(section heading),,4.3.2,Matched (section),"Heading, not a substance",
da8,Nefazodone,SARI,Other antidepressant drugs,0403040T0,Nefazodone hydrochloride,,4.3.4,Matched,"Withdrawn, but code exists",
d7c,Nortriptyline,TCA,Tricyclic and related antidepressant drugs,0403010V0,Nortriptyline,,4.3.1,Matched,,
da,Other antidepressant drugs,Other,Other antidepressant drugs,040304,(section heading),,4.3.4,Matched (section),"Heading, not a substance",
da6,Paroxetine,SSRI,Selective serotonin re-uptake inhibitors,0403030P0,Paroxetine hydrochloride,,4.3.3,Matched,,
d81,phenelzine,MAOI,Monoamine-oxidase inhibitors (maois),0403020M0,Phenelzine sulfate,,4.3.2,Matched,,
d7d,Protriptyline,TCA,,,—,,4.3.1,Missing – no BNF code,Withdrawn in UK,
daA,Reboxetine,SNRI,Other antidepressant drugs,0403040U0,Reboxetine,,4.3.4,Matched,,
da5,Sertraline,SSRI,Selective serotonin re-uptake inhibitors,0403030Q0,Sertraline hydrochloride,,4.3.3,Matched,,
d84,Tranylcypromine,MAOI,Monoamine-oxidase inhibitors (maois),0403020Q0,Tranylcypromine sulfate,,4.3.2,Matched,,
d7e,Trazodone hydrochloride,SARI,Tricyclic and related antidepressant drugs,0403010X0,Trazodone hydrochloride,,4.3.1,Matched,BNF files SARI under 4.3.1,
d7,Tricyclic antidepressants,TCA,Tricyclic and related antidepressant drugs,040301,(section heading),,4.3.1,Matched (section),"Heading, not a substance",
d7f,Trimipramine,TCA,Tricyclic and related antidepressant drugs,0403010Y0,Trimipramine maleate,,4.3.1,Matched,,
da2,Tryptophan,Other,Other antidepressant drugs,0403040S0,Tryptophan,,4.3.4,Matched,,
